DATE,temp_sodankyla,ref_temp,anomaly_diff,temp_helsinki,station_diff
1983-02,-14.027777777777777,-16.21924983275558,2.191472054977803,-8.055555555555555,-5.972222222222221
1983-03,-8.89784946236559,-11.184289127837514,2.2864396654719243,-2.6523297491039424,-6.245519713261648
1983-04,0.10185185185185,-4.104938271604938,4.206790123456789,5.203703703703704,-5.101851851851854
1983-05,5.134408602150538,3.3213859020310625,1.8130227001194754,11.54121863799283,-6.406810035842293
1983-06,10.240740740740739,10.246101364522417,-0.005360623781678342,13.537037037037036,-3.2962962962962976
1983-07,13.53942652329749,12.944727409922656,0.5946991133748334,17.79569892473118,-4.256272401433691
1983-08,9.605734767025089,10.635752688172044,-1.0300179211469551,15.663082437275984,-6.057347670250895
1983-09,7.555555555555556,5.1194444444444445,2.436111111111112,11.38888888888889,-3.833333333333333
1983-10,-0.6362007168458778,-1.9184587813620073,1.2822580645161294,5.842293906810036,-6.478494623655913
1983-11,-16.416666666666668,-7.987962962962963,-8.428703703703704,-1.6296296296296298,-14.787037037037038
1983-12,-16.980286738351253,-13.147401433691755,-3.8328853046594986,-2.6344086021505375,-14.345878136200716
1984-01,-14.42652329749104,-16.153424930306652,1.726901632815613,-4.390681003584229,-10.03584229390681
1984-02,-7.863984674329502,-16.21924983275558,8.355265158426079,-5.689655172413794,-2.1743295019157083
1984-03,-11.54121863799283,-11.184289127837514,-0.35692951015531627,-4.175627240143369,-7.365591397849462
1984-04,-1.99074074074074,-4.104938271604938,2.1141975308641983,4.685185185185183,-6.675925925925924
1984-05,6.9802867383512535,3.3213859020310625,3.658900836320191,12.759856630824371,-5.779569892473118
1984-06,10.685185185185185,10.246101364522417,0.4390838206627681,13.944444444444445,-3.2592592592592595
1984-07,12.016129032258066,12.944727409922656,-0.9285983776645903,15.161290322580644,-3.1451612903225783
1984-08,9.829749103942653,10.635752688172044,-0.8060035842293907,14.910394265232974,-5.08064516129032
1984-09,4.379629629629629,5.1194444444444445,-0.7398148148148156,9.851851851851851,-5.472222222222222
1984-10,-1.039426523297491,-1.9184587813620073,0.8790322580645162,7.132616487455196,-8.172043010752686
1984-11,-9.99074074074074,-7.987962962962963,-2.0027777777777773,1.185185185185185,-11.175925925925926
1984-12,-7.562724014336918,-13.147401433691755,5.584677419354837,-1.9534050179211464,-5.609318996415771
1985-01,-23.172043010752688,-16.153424930306652,-7.018618080446036,-15.519713261648748,-7.65232974910394
1985-02,-24.543650793650794,-16.21924983275558,-8.324400960895215,-15.11904761904762,-9.424603174603174
1985-03,-7.652329749103942,-11.184289127837514,3.531959378733572,-2.508960573476702,-5.143369175627241
1985-04,-6.527777777777778,-4.104938271604938,-2.4228395061728394,1.0740740740740722,-7.601851851851849
