DATE_m,temp_celsius
195201,-1.4009661835748786
195202,-3.9999999999999996
195203,-10.106837606837606
195204,4.2261904761904745
195205,7.037037037037035
195206,13.61111111111111
195207,16.23015873015873
195208,14.157706093189963
195209,8.461538461538463
195210,2.1626984126984143
195211,-2.3809523809523805
195212,-2.91111111111111
195301,-5.396825396825397
195302,-8.662551440329217
195303,-0.4830917874396137
195304,4.423868312757201
195305,9.265232974910395
195306,17.037037037037035
195307,17.066666666666666
195308,15.11494252873563
195309,9.650205761316874
195310,7.222222222222222
195311,1.4087301587301582
195312,-1.2903225806451621
195401,-7.072649572649572
195402,-11.527777777777777
195403,-1.2698412698412693
195404,1.4120370370370356
195405,11.455938697318008
195406,13.91025641025641
195407,16.924603174603174
195408,15.153256704980842
195409,11.303418803418804
195410,5.151515151515151
195411,0.06666666666666525
195412,-0.07936507936507908
195501,-5.473251028806584
195502,-8.26388888888889
195503,-5.74074074074074
195504,-1.0386473429951693
195505,6.091954022988505
195506,12.457264957264956
195507,17.933333333333334
195508,17.921810699588473
195509,13.078703703703702
195510,5.864197530864199
195511,-1.13425925925926
195512,-11.091269841269842
195601,-8.133333333333333
195602,-14.550264550264549
195603,-4.386973180076629
195604,-0.37698412698412614
195605,8.64814814814815
195606,15.724637681159418
195607,15.416666666666666
195608,12.63888888888889
195609,8.452380952380953
195610,4.462365591397849
195611,-4.565217391304347
195612,-2.4521072796934873
195701,-2.4404761904761902
195702,-3.5185185185185177
195703,-7.28888888888889
195704,1.6388888888888904
195705,8.27485380116959
195706,12.407407407407408
195707,17.83333333333333
195708,15.358422939068102
195709,9.37037037037037
195710,5.651340996168581
195711,0.8237547892720324
195712,-2.0250896057347667
195801,-8.315412186379929
195802,-9.464285714285714
195803,-7.580645161290322
195804,1.0185185185185197
195805,8.225806451612902
195806,13.38888888888889
195807,15.340501792114694
195808,14.516129032258066
195809,10.407407407407408
195810,6.111111111111111
195811,3.1851851851851856
195812,-6.612903225806451
195901,-5.148148148148148
195902,-2.361111111111111
195903,0.32258064516128904
195904,3.870370370370371
195905,9.695340501792115
195906,15.074074074074073
195907,17.83154121863799
195908,16.965811965811966
195909,8.812260536398465
195910,4.767025089605734
195911,1.4074074074074063
195912,-5.148148148148148
196001,-10.229885057471265
196002,-8.9272030651341
196003,-4.587813620071684
196004,1.8518518518518532
196005,10.981481481481481
196006,16.277777777777775
196007,18.06513409961686
196008,15.10752688172043
196009,10.111111111111112
196010,3.27956989247312
196011,-0.6851851851851857
196012,-0.32258064516129104
196101,-3.648148148148148
196102,-0.3571428571428569
196103,0.358422939068102
196104,2.62962962962963
196105,9.892473118279568
196106,17.0
196107,15.86021505376344
196108,14.175627240143369
196109,9.722222222222221
196110,8.655913978494622
196111,1.722222222222223
196112,-5.07168458781362
196201,-3.6559139784946244
196202,-5.198412698412699
196203,-7.491039426523297
196204,3.777777777777776
196205,8.584229390681005
196206,12.037037037037035
196207,14.623655913978492
196208,13.02867383512545
196209,9.37037037037037
196210,6.792114695340502
196211,1.5000000000000016
196212,-6.810035842293907
196301,-9.892473118279568
196302,-10.833333333333334
196303,-8.727598566308243
196304,2.8148148148148167
196305,13.207885304659497
196306,14.827586206896552
196307,16.881720430107528
196308,16.344086021505376
196309,12.62962962962963
196310,6.021505376344084
196311,-0.18518518518518454
196312,-4.13978494623656
196401,
196402,
196403,
196404,
196405,
196406,
196407,
196408,
196409,
196410,
196411,
196412,
196501,
196502,
196503,
196504,
196505,
196506,
196507,
196508,
196509,
196510,
196511,
196512,
196601,
196602,
196603,
196604,
196605,
196606,
196607,
196608,
196609,
196610,
196611,
196612,
196701,
196702,
196703,
196704,
196705,
196706,
196707,
196708,
196709,
196710,
196711,
196712,
196801,
196802,
196803,
196804,
196805,
196806,
196807,
196808,
196809,
196810,
196811,
196812,
196901,
196902,
196903,
196904,
196905,
196906,
196907,
196908,
196909,
196910,
196911,
196912,
197001,
197002,
197003,
197004,
197005,
197006,
197007,
197008,
197009,
197010,
197011,
197012,
197101,
197102,
197103,
197104,
197105,
197106,
197107,
197108,
197109,
197110,
197111,
197112,
197201,
197202,
197203,
197204,
197205,
197206,
197207,
197208,
197209,
197210,
197211,
197212,
197301,-1.9713261648745513
197302,-4.583333333333333
197303,-1.218637992831542
197304,2.666666666666665
197305,10.161290322580644
197306,16.74074074074074
197307,19.731182795698924
197308,14.910394265232974
197309,6.907407407407406
197310,2.2401433691756267
197311,-3.037037037037036
197312,-6.559139784946235
197401,-2.921146953405018
197402,-0.515873015873015
197403,-1.1648745519713266
197404,2.666666666666665
197405,7.132616487455196
197406,14.351851851851853
197407,15.698924731182796
197408,14.67741935483871
197409,12.222222222222221
197410,5.681003584229391
197411,2.2037037037037046
197412,0.7347670250896046
197501,-1.3799283154121866
197502,-2.956349206349207
197503,-0.3584229390681
197504,3.333333333333333
197505,11.888888888888888
197506,13.666666666666668
197507,17.706093189964154
197508,16.36200716845878
197509,12.870370370370368
197510,4.820788530465951
197511,1.1666666666666674
197512,-1.8637992831541221
197601,-9.946236559139784
197602,-7.107279693486589
197603,-4.820788530465949
197604,2.1111111111111094
197605,11.200716845878137
197606,12.88888888888889
197607,15.734767025089605
197608,15.358422939068102
197609,8.185185185185185
197610,1.7025089605734756
197611,0.740740740740742
197612,-4.318996415770608
197701,-6.451612903225806
197702,-8.908730158730158
197703,-2.168458781362007
197704,1.759259259259258
197705,9.534050179211471
197706,14.333333333333332
197707,14.85663082437276
197708,14.695340501792115
197709,8.351851851851851
197710,5.3584229390681015
197711,1.7407407407407405
